epoch,accuracy,loss,val_accuracy,val_loss
0,0.7730000019073486,0.5870082974433899,0.8837500214576721,0.27254074811935425
1,0.8575000166893005,0.3550213873386383,0.9012500047683716,0.2430211901664734
2,0.8830000162124634,0.28531739115715027,0.8374999761581421,0.44384926557540894
3,0.8964999914169312,0.2573869824409485,0.8550000190734863,0.4040890634059906
4,0.9114999771118164,0.22517868876457214,0.8525000214576721,0.39606598019599915
5,0.9279999732971191,0.18496063351631165,0.9024999737739563,0.2954964339733124
6,0.9340000152587891,0.1774093061685562,0.9049999713897705,0.35246941447257996
7,0.9359999895095825,0.1630256175994873,0.8762500286102295,0.41780170798301697
8,0.9434999823570251,0.15351414680480957,0.9100000262260437,0.3012455105781555
9,0.9524999856948853,0.12105824798345566,0.9075000286102295,0.3269188404083252
